Wine,Alcohol,Color intensity,OD280/OD315 of diluted wines,Proline,Flavanoids,Total phenols,Hue
1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,,,,,,,
1,13.16,5.68,3.17,1185,3.24,2.80,1.030
1,14.39,5.25,3.58,1290,2.52,2.50,1.020
1,13.86,7.22,3.55,1045,3.15,2.98,1.010
1,14.12,5,2.82,1280,2.43,2.20,1.170
1,13.75,5.6,2.90,1320,2.76,2.60,1.150
1,13.63,7.3,2.88,1310,2.91,2.85,1.280
1,14.30,6.2,2.65,1280,3.14,2.80,1.070
1,13.83,6.6,2.57,1130,3.40,2.95,1.130
1,12.93,4.5,3.52,770,2.41,2.41,1.030
1,13.39,4.8,3.22,1195,2.94,2.85,0.920
1,13.30,3.95,2.77,1285,2.19,2.40,1.020
1,13.87,4.5,3.40,915,2.97,2.95,1.250
1,14.02,4.7,3.59,1035,2.33,2.65,1.040
1,13.73,5.7,2.71,1285,3.25,3.00,1.190
1,13.68,3.84,2.87,990,2.69,2.42,1.230
1,13.51,4.2,2.87,1095,2.53,2.35,1.100
1,13.48,5.1,3.47,920,2.98,2.70,1.040
1,13.05,4.25,2.51,1105,2.43,2.45,1.120
1,13.07,3.7,2.69,1020,2.64,2.40,1.180
1,13.56,6.13,3.38,795,3.29,3.15,0.950
1,13.41,4.28,3.00,1035,2.68,2.45,0.910
1,13.24,4.36,3.00,680,2.63,2.64,0.820
1,13.05,5.04,3.35,885,3.00,3.00,0.880
1,14.21,5.24,3.33,1080,2.65,2.85,0.870
1,14.38,4.9,3.44,1065,3.17,3.25,1.040
1,13.90,6.1,3.33,985,3.39,3.10,0.910
1,14.10,6.2,2.75,1060,2.92,2.75,1.070
1,13.83,5.6,3.37,1265,2.99,2.45,1.240
1,13.77,6.3,2.93,1375,2.79,3.00,1.130
1,13.74,5.85,3.20,1060,2.90,2.60,0.920
1,13.56,6.25,3.03,1120,2.78,2.96,0.980
1,14.22,6.38,3.31,970,3.00,3.20,0.940
1,13.29,6,2.84,1270,3.23,3.00,1.070
2,12.64,5.75,1.59,450,1.41,2.02,0.980
2,13.67,3.8,2.46,630,1.79,2.10,1.230
2,12.37,4.6,2.30,678,2.65,2.42,1.190
2,12.37,4.68,3.48,510,2.00,2.11,1.120
2,13.34,3.17,1.93,750,1.30,2.53,1.020
2,12.29,3.05,1.82,870,1.02,1.10,0.906
2,13.49,3.74,2.78,472,1.84,1.88,0.980
2,11.66,3.8,2.14,428,1.57,1.61,1.230
2,11.84,2.65,2.52,500,1.32,1.72,0.960
2,12.70,2.57,3.13,463,2.55,2.83,1.190
2,12.72,3.9,3.14,714,2.53,2.20,1.160
2,11.84,3.05,3.08,520,2.21,2.20,0.790
2,12.67,2.62,3.16,450,1.94,2.20,1.230
2,11.64,2.8,2.75,680,1.69,1.95,1.000
2,12.08,2.4,2.27,480,1.50,1.60,1.080
2,12.00,3.6,2.65,450,1.25,1.45,1.050
2,12.69,3.05,2.06,495,1.46,1.38,0.960
2,12.29,2.15,3.30,290,2.25,2.45,1.150
2,12.29,2.9,2.74,428,2.50,2.55,1.230
2,12.60,2.45,2.77,562,1.36,1.45,1.040
2,12.34,2.8,3.38,438,2.11,2.56,0.800
2,11.82,2.06,2.44,415,1.64,2.50,0.940
2,12.51,2.94,3.57,672,1.92,2.20,1.040
2,12.25,3.4,3.17,510,2.03,1.65,1.000
2,12.72,3.3,2.42,488,1.76,1.38,0.880
2,12.22,2.7,3.02,312,2.04,2.36,0.860
2,11.61,2.65,3.26,680,2.92,2.74,0.960
2,12.52,2,2.78,325,2.27,2.55,0.900
2,12.08,2.9,3.19,385,2.29,2.56,0.930
2,12.42,2.06,2.96,345,2.09,2.00,1.060
2,12.77,3.4,2.12,372,1.25,1.63,0.700
2,12.07,2.76,3.28,378,2.65,2.60,0.860
2,12.43,3.94,2.84,352,3.15,2.74,0.690
2,12.04,2.6,2.57,580,1.75,2.10,0.790
3,12.88,5.4,1.42,530,1.22,1.30,0.740
3,12.81,5.7,1.36,560,1.09,1.15,0.660
3,12.51,5.45,1.51,650,0.58,2.00,0.750
3,12.25,3.85,1.27,720,0.47,1.38,0.750
3,13.49,5.7,1.82,580,0.48,1.62,0.810
3,12.84,4.92,2.15,590,0.60,2.32,0.890
3,12.93,4.6,2.31,600,0.50,1.54,0.770
3,13.36,5.6,2.47,780,0.50,1.40,0.700
3,13.52,4.35,2.06,520,0.52,1.55,0.890
3,13.62,4.4,2.05,550,0.80,2.00,0.910
3,12.25,8.21,2.00,855,0.78,1.38,0.650
3,13.16,4,1.68,830,0.55,1.50,0.600
3,12.87,7.65,1.86,625,0.65,1.70,0.540
3,13.32,8.42,1.62,650,0.76,1.93,0.550
3,13.08,9.4,1.33,550,1.39,1.41,0.570
3,12.58,7.6,1.55,640,0.58,1.48,0.580
3,13.84,9.01,1.64,480,0.83,1.80,0.570
3,12.36,7.65,1.58,520,0.92,2.30,0.560
3,13.69,5.88,1.82,680,0.56,1.83,0.960
3,12.85,5.58,2.11,570,0.60,1.65,0.870
3,12.96,5.28,1.75,675,0.70,1.39,0.680
3,13.78,9.58,1.68,615,0.68,1.35,0.700
3,13.73,6.62,1.75,520,0.47,1.28,0.780
3,12.20,5.5,1.83,510,0.49,1.25,0.660
3,12.77,9.9,1.63,470,0.51,1.39,0.570
3,14.16,9.7,1.71,660,0.70,1.68,0.620
3,13.40,7.3,1.56,750,0.75,1.80,0.700
3,13.17,9.3,1.62,840,0.68,1.65,0.600
